source_team,suggested_standard,match_score
Massachusetts Minutemen,Massachusetts,0.7222222222222222
Texas A&M-Corpus Christi Islanders,Texas A&M Corpus Christi,0.7931034482758621
UNC Greensboro Spartans,UNC Greensboro,0.7567567567567568
Mount St. Mary's Mountaineers,Mount St. Mary's,0.7111111111111111
Presbyterian Blue Hose,Presbyterian,0.7058823529411765
Detroit Mercy Titans,Detroit Mercy,0.7878787878787878
Loyola Maryland Greyhounds,Loyola Marymount,0.6666666666666666
Kansas City Roos,Kansas City,0.8148148148148148
Saint Francis Red Flash,Saint Francis,0.7222222222222222
